lot_id,temperature_c,voltage_v,devices_tested,yield_percent
L01,-40.0,3.0,105,99.05
L01,-40.0,3.3,90,97.78
L01,-40.0,3.6,92,98.91
L01,25.0,3.0,87,100.0
L01,25.0,3.3,88,98.86
L01,25.0,3.6,118,96.61
L01,85.0,3.0,112,97.32
L01,85.0,3.3,84,98.81
L01,85.0,3.6,124,98.39
L02,-40.0,3.0,122,98.36
L02,-40.0,3.3,117,98.29
L02,-40.0,3.6,119,99.16
L02,25.0,3.0,113,99.12
L02,25.0,3.3,98,96.94
L02,25.0,3.6,106,100.0
L02,85.0,3.0,130,97.69
L02,85.0,3.3,93,97.85
L02,85.0,3.6,102,99.02
L03,-40.0,3.0,107,97.2
L03,-40.0,3.3,134,98.51
L03,-40.0,3.6,106,100.0
L03,25.0,3.0,109,97.25
L03,25.0,3.3,104,94.23
L03,25.0,3.6,96,97.92
L03,85.0,3.0,98,97.96
L03,85.0,3.3,123,97.56
L03,85.0,3.6,123,95.12
L04,-40.0,3.0,123,98.37
L04,-40.0,3.3,128,98.44
L04,-40.0,3.6,103,97.09
L04,25.0,3.0,115,95.65
L04,25.0,3.3,102,98.04
L04,25.0,3.6,102,98.04
L04,85.0,3.0,97,97.94
L04,85.0,3.3,118,99.15
L04,85.0,3.6,112,96.43
L05,-40.0,3.0,120,98.33
L05,-40.0,3.3,107,98.13
L05,-40.0,3.6,109,100.0
L05,25.0,3.0,112,99.11
L05,25.0,3.3,127,94.49
L05,25.0,3.6,94,93.62
L05,85.0,3.0,116,96.55
L05,85.0,3.3,110,99.09
L05,85.0,3.6,105,95.24
L06,-40.0,3.0,110,100.0
L06,-40.0,3.3,130,97.69
L06,-40.0,3.6,112,98.21
L06,25.0,3.0,102,99.02
L06,25.0,3.3,110,98.18
L06,25.0,3.6,126,97.62
L06,85.0,3.0,113,98.23
L06,85.0,3.3,103,98.06
L06,85.0,3.6,94,96.81
L07,-40.0,3.0,103,100.0
L07,-40.0,3.3,101,97.03
L07,-40.0,3.6,113,99.12
L07,25.0,3.0,99,98.99
L07,25.0,3.3,130,99.23
L07,25.0,3.6,125,96.0
L07,85.0,3.0,109,96.33
L07,85.0,3.3,108,96.3
L07,85.0,3.6,112,96.43
L08,-40.0,3.0,106,97.17
L08,-40.0,3.3,130,97.69
L08,-40.0,3.6,115,94.78
L08,25.0,3.0,119,97.48
L08,25.0,3.3,101,98.02
L08,25.0,3.6,104,97.12
L08,85.0,3.0,104,96.15
L08,85.0,3.3,113,98.23
L08,85.0,3.6,108,97.22
L09,-40.0,3.0,120,95.83
L09,-40.0,3.3,113,98.23
L09,-40.0,3.6,118,98.31
L09,25.0,3.0,119,97.48
L09,25.0,3.3,108,98.15
L09,25.0,3.6,116,99.14
L09,85.0,3.0,102,98.04
L09,85.0,3.3,92,96.74
L09,85.0,3.6,112,97.32
L10,-40.0,3.0,120,99.17
L10,-40.0,3.3,120,97.5
L10,-40.0,3.6,107,95.33
L10,25.0,3.0,90,94.44
L10,25.0,3.3,116,99.14
L10,25.0,3.6,112,93.75
L10,85.0,3.0,119,81.51
L10,85.0,3.3,102,79.41
L10,85.0,3.6,114,73.68
L11,-40.0,3.0,116,97.41
L11,-40.0,3.3,101,99.01
L11,-40.0,3.6,112,98.21
L11,25.0,3.0,113,88.5
L11,25.0,3.3,127,88.19
L11,25.0,3.6,97,88.66
L11,85.0,3.0,96,17.71
L11,85.0,3.3,108,17.59
L11,85.0,3.6,130,22.31
L12,-40.0,3.0,109,98.17
L12,-40.0,3.3,102,95.1
L12,-40.0,3.6,116,99.14
L12,25.0,3.0,127,51.18
L12,25.0,3.3,103,39.81
L12,25.0,3.6,108,47.22
L12,85.0,3.0,105,1.9
L12,85.0,3.3,109,0.0
L12,85.0,3.6,121,0.0
