wafer_id,lot_id,devices_tested,yield_percent
L12-W04,L12,250,44.0
L12-W01,L12,250,45.6
L12-W02,L12,250,48.0
L12-W03,L12,250,53.6
L11-W03,L11,250,62.4
L11-W01,L11,250,67.2
L11-W04,L11,250,70.0
L11-W02,L11,250,74.8
L10-W01,L10,250,87.2
L10-W03,L10,250,88.8
L10-W04,L10,250,92.8
L10-W02,L10,250,93.2
L03-W01,L03,250,96.0
L08-W02,L08,250,96.0
L09-W03,L09,250,96.0
L05-W02,L05,250,96.4
L07-W02,L07,250,96.4
L08-W01,L08,250,96.4
L03-W04,L03,250,96.8
L04-W01,L04,250,96.8
L05-W01,L05,250,97.2
L06-W04,L06,250,97.2
L07-W04,L07,250,97.2
L03-W02,L03,250,97.6
L04-W03,L04,250,97.6
L05-W03,L05,250,97.6
L05-W04,L05,250,97.6
L06-W01,L06,250,97.6
L08-W03,L08,250,97.6
L09-W02,L09,250,97.6
L09-W04,L09,250,97.6
L01-W02,L01,250,98.0
L02-W03,L02,250,98.0
L02-W04,L02,250,98.0
L04-W04,L04,250,98.0
L07-W03,L07,250,98.0
L01-W03,L01,250,98.4
L01-W04,L01,250,98.4
L02-W02,L02,250,98.4
L04-W02,L04,250,98.4
L06-W03,L06,250,98.4
L08-W04,L08,250,98.4
L01-W01,L01,150,98.67
L03-W03,L03,250,98.8
L07-W01,L07,250,99.2
L02-W01,L02,250,99.6
L06-W02,L06,250,99.6
L09-W01,L09,250,99.6
